Questions,Answers,,,,,
Did you feel the need for more clarity on company decisions?,"No, I didn't feel the need for more clarity as I had a good understanding of the company's decisions.",,,,,
What was the most challenging aspect of the meetings?,Balancing active participation with note-taking was the most challenging aspect.,,,,,
Did you feel the need for more support in decision-making?,"No, I felt confident in my decision-making process based on my experience.",,,,,
What was the impact of the meetings on your learning?,The meetings provided valuable learning opportunities and insights into the company's operations.,,,,,
What would have made the meetings more efficient?,Using AI tools for note-taking and summarizing discussions would have made the meetings more efficient.,,,,,
Is it my responsibility or the person who's putting in the proposal to send me a summary?,The responsibility lies with the person putting in the proposal to send a summary.,,,,,
Can you automate any part of the workflow?,Automating scheduling and reminders for meetings would be helpful.,,,,,
What was the most annoying part of the workflow?,The fast-paced scheduling and lack of clear prioritization were frustrating.,,,,,
Can you provide an example of automation that could be implemented?,Sending a Zoom link and summary of previous emails before each meeting could be automated.,,,,,
What information would be helpful to include in the automation?,Including relevant KPIs and reminders of company priorities would be beneficial.,,,,,
How can we ensure meetings are focused on the right topics?,Reminding attendees of company priorities and the purpose of the meeting can help maintain focus.,,,,,
How can we make scheduling easier?,Implementing a system for prioritization and visibility of meeting requests would simplify scheduling.,,,,,
What other improvements can be made to the workflow?,Adding deadlines and clear timelines for completing tasks would improve efficiency.,,,,,
Can you provide an example of how prioritization and deadlines can be incorporated?,Having individuals fill out priority levels and specify deadlines before tech meetings would help with prioritization.,,,,,
Is there anything else you would like to add?,Talent and expertise in automation would be valuable in streamlining the workflow.,,,,,
What is the issue with the ability for a talent to educate on their calendar?,There is a lack of flexibility and it is a very binary scheduling system.,,,,,
What is the difference between binary and how things get scheduled?,Binary scheduling system is inflexible and lacks prioritization.,,,,,
What are the challenges with the current scheduling system?,The lack of flexibility and prioritization make it difficult to manage priorities.,,,,,
What are the key takeaways from the meeting?,The meeting discussed the challenges with the current scheduling system and explored potential solutions.,,,,,
What are the next steps after the meeting?,The next steps include further exploration of potential solutions and addressing the challenges discussed.,,,,,
What are the plans for the advisor side?,The plans involve working on an EV-related startup and exploring opportunities in the music tech space.,,,,,
What is the overall sentiment towards the current environment?,"The current environment is challenging, especially for prop tech, due to factors like natural disasters and insurance issues.",,,,,
What is the offer of support from the speaker?,The speaker offers to provide support and resources for those interested in starting their own early-stage startup.,,,,,
What is the speaker's experience and background?,The speaker has experience in helping founders find product-market fit and building MVPs.,,,,,
What is the speaker's advice for those considering a career in early-stage startups?,"The speaker encourages reaching out for advice and resources, as they have experience in the field.",,,,,
What is the closing sentiment of the meeting?,The meeting was intense but helpful in providing context and guidance for the future.,,,,,
What was the initial size of the On Deck community?,Started with about 80 members and grew to over 450.,,,,,
Why did On Deck decide to slim down on their offerings?,"On Deck decided to cut down on communities, including the Chief of Staff 1 community.",,,,,
How did Ask a Chief of Staff community start?,"Started as a placement and recruiting agency, then restarted as a community in April of this year.",,,,,
How has the Ask a Chief of Staff community been growing?,The community has been growing steadily since its restart in April.,,,,,
What was the connection between Ask a Chief and the speaker's previous company?,Both companies focused on matching professionals in specific fields (chief of staff and sales) to their next roles.,,,,,
What are the speaker's plans for the future of Ask a Chief?,Opportunity to expand the community to more geographies and potentially bring on a partnerships person.,,,,,
Is Ask a Chief intended to become a billion-dollar product?,The speaker plans to keep it as a lifestyle business rather than aiming for massive growth.,,,,,
What challenges does the speaker face with recruiting?,Difficulty in finding enough job opportunities to match the large number of candidates.,,,,,
What are the speaker's future goals for generating leads?,"Looking for better ways to generate leads on the company hiring side, especially for niche roles like chief of staff.",,,,,
What is the speaker's main challenge with recruiting for chief of staff roles?,Finding companies that are open to using external recruiters for niche roles like chief of staff.,,,,,
What is the ideal number of jobs to work on?,Anywhere between five to seven jobs is a good volume for a solo person business.,,,,,
What kind of touch is important when hiring for a niche role like Chief of Staff?,There needs to be a certain kind of touch to ensure the right people are in front of CEOs.,,,,,
What is the goal for the business in terms of reputation?,The goal is to build a reputation where anyone thinking about Chief of Staff knows to come to us first.,,,,,
What is the background of the new business called Osmo?,Osmo is a tool to help remember conversations and is focused on the Chief of Staff role.,,,,,
Why is the Chief of Staff role an interesting buyer persona?,Chief of Staffs have a strong connection to the CEO and are in a position to influence buying decisions.,,,,,
What is the additional perk of working with Chiefs of Staff?,Building partnerships and providing a shortlist of vetted companies for various needs.,,,,,
How are tools and resources for Chiefs of Staff found?,"Outreach and research in the Chief of Staff space, with Ambien being one of the companies mentioned.",,,,,
What is the ideal number of jobs to work on?,Anywhere between five to seven jobs is a good volume for a solo person business.,,,,,
What kind of touch is important when hiring for a niche role like Chief of Staff?,There needs to be a certain kind of touch to ensure the right people are in front of CEOs.,,,,,
What is the goal for the business in terms of reputation?,The goal is to build a reputation where anyone thinking about Chief of Staff knows to come to us first.,,,,,
What is the background of the new business called Osmo?,Osmo is a tool to help remember conversations and is focused on the Chief of Staff role.,,,,,
Why is the Chief of Staff role an interesting buyer persona?,Chief of Staffs have a strong connection to the CEO and are in a position to influence buying decisions.,,,,,
What is the additional perk of working with Chiefs of Staff?,Building partnerships and providing a shortlist of vetted companies for various needs.,,,,,
How are tools and resources for Chiefs of Staff found?,"Outreach and research in the Chief of Staff space, with Ambien being one of the companies mentioned.",,,,,
What is the product like?,The product is robust and helpful for writing follow-ups and note-taking.,,,,,
How does it go beyond note-taking?,It creates follow-up items and red flag items to ensure deadlines are met.,,,,,
Is the product free?,"Yes, it is currently free but will have monetization later.",,,,,
How is the reception of the product?,"It is still early, but we are optimistic and building partnerships.",,,,,
Are there privacy concerns with recording?,It is important to get approval and inform participants that recordings are for internal use only.,,,,,
What is the focus of the product?,The focus is on providing summaries for private conversations without cloud-based solutions or recording.,,,,,
What is the goal of the product?,The goal is to improve productivity by helping users remember and track conversations and follow-ups.,,,,,
Where are you in terms of adoption and what are your plans for the next couple of months?,We have just started with a few pilot users and have grown to about 500 users in the last month. We are focusing on making the product work on both Mac and PC.,,,,,
Are there any partnership opportunities?,There could be partnership opportunities in the future. We are open to collaborations and curating the best products for our community.,,,,,
What is the plan for communication and potential collaboration?,"We can keep the line of communication open and explore options like newsletters, featuring in our partnerships directory, or sponsorships. We are also considering hiring a partnerships person.",,,,,
Can you provide any recommendations for potential partnerships?,I have a friend who has experience in partnerships at a FinTech company. I can share her name with you for a conversation.,,,,,
What is the history of Chief of Staff?,"The concept originated in China, where the Civil Service class was created to ensure fair taxation and governance under the emperor.",,,,,
"Essentially, was that the first de facto Chief of Staff?","Yes, the term 'Chief of Staff' originated from the Roman Empire's administrative side of the military.",,,,,
What were the roles of the administrative side of the military?,"The administrative side handled logistics, food, and support for ruling faraway lands.",,,,,
What is it like being a Chief of Staff?,Being a Chief of Staff feels like being a human punching bag one day and a gatekeeper the next. It's a mixed bag of responsibilities.,,,,,
What is the biggest change people don't understand about being a Chief of Staff?,"The biggest change is that when you become a Chief of Staff, you have different roles and responsibilities, similar to a chief operations officer.",,,,,
How does the role of a Chief of Staff differ in the government and tech sectors?,"In the government, the Chief of Staff works closely with the CEO, while in the tech sector, it is more about defining roles and levels in startups.",,,,,
How do you define roles and levels in a startup?,Defining roles and levels in a startup is a challenge that requires careful consideration and kinship to existing definitions.,,,,,
What is the definition of emergency response?,Emergency response is designed to start with the highest person at the lowest level and naturally gets passed higher as more people show up.,,,,,
Are there similar losses in quick environments with rapid addition of people?,"Similar losses are observed in quick environments with rapid addition of people, indicating an acceptable amount of loss.",,,,,
How do we refine what is acceptable to lose?,The refinement of what is acceptable to lose is based on the core priorities and the assumption of acceptable loss.,,,,,
What was the experience during Hurricane Rita?,"During Hurricane Rita, the team had to move everyone from Houston to North Louisiana, resulting in some lost connections.",,,,,
What types of meetings do you have?,"There are four main types of meetings: legislation, running the office, administration-related issues, and random stakeholders.",,,,,
How do you prioritize your time in meetings?,"Time is prioritized based on the importance of bills being worked on and bills that others care about, with staff handling many of the latter meetings.",,,,,
Do most of the meetings take place on Zoom or in person?,Most meetings now have a good mix of both Zoom and in-person.,,,,,
How do you track and remember conversations?,"Notes are taken, and follow-up is assigned. Emails are used for communication.",,,,,
How do you manage your emails?,"The goal is to get through all emails in a day, usually around 100. Slack is also used for communication.",,,,,
Is the executive comfortable with technology?,"The executive is comfortable with tech, especially texting, using the phone, and an iPad.",,,,,
Are all members of the state senate comfortable with technology?,"Most members are comfortable with technology, but there were a few Luddites as of last year.",,,,,
What has been the blocker for adoption for some of these tools?,"Government runs 10 years behind the tech curve, and legislative bodies run 10 to 20 years behind.",,,,,
Why can't you put an amended bill online?,"Historically, the legislature has been resistant to adopting cutting-edge technology and prefers to do things the same way they did them in 1865.",,,,,
What was the common way of doing things in the past?,"The common way was to drop in new language into a bill on the last day of session, have a quick committee meeting, and then go straight to the floor for a vote without reading the bill.",,,,,
What was the impact of breaking that style of doing things?,Breaking that style of doing things a couple of years ago was a big deal and received a lot of complaints.,,,,,
What was the response to the complaints?,"Governor Brown admitted it bothered him, but he believed that's just the way things work and didn't understand why everyone cared about it.",,,,,
What did you and Dana do about it?,You and Dana put some changes in the bill to address the issues and tested it through a polling call.,,,,,
What was the outcome of the polling call?,"The outcome of the polling call was positive, and you both believed the changes would work.",,,,,
What was the reaction to the changes?,"There was some joking and banter about the changes, but overall, it was seen as a positive step forward.",,,,,
What is the current state of using AI tools?,"AI tools have not been widely adopted yet, except for using AI to generate talking points for the floor, which worked well.",,,,,
What is the attitude towards new technology in the legislature?,The legislature is generally resistant to adopting new technology and prefers to stick with traditional methods.,,,,,
What are the challenges in implementing new technology in the legislature?,"The challenges include the government running behind the tech curve, resistance to change, and a lack of cutting-edge technology inherent in the legislature.",,,,,
What are the incremental changes that have been made?,"Incremental changes have been made, such as putting bills online, but there is still a long way to go in modernizing the legislative process.",,,,,
Why is that your fucking job? Does it make sense?,The initiative doesn't make sense. It's the job of the team to make sense of it.,,,,,
Does it make sense to people? Can I sell it?,"Yes, it makes sense to people. You can sell it.",,,,,
What is the biggest difference in operations now compared to 10 years ago?,The biggest difference is the involvement with the political side and the need for a chief of staff.,,,,,
Are there privacy and security concerns when dealing with government AI?,"Yes, there are concerns. There is no privacy standard for AI in government.",,,,,
Is there a lag in government adoption of AI due to security concerns?,"Yes, there is a lag. The Department of Defense is considering AI but relies on external security providers.",,,,,
What are the challenges in securing AI in government?,The challenge is the lack of a security standard for AI that can adapt and iterate.,,,,,
Are there any startup ideas around AI policy?,Minnesota has some startup ideas around AI policy.,,,,,
What has been challenging for you as a chief of staff?,Lack of effective project management tools that provide a high-level understanding of all ongoing projects without getting into day-to-day details.,,,,,
What is the current project management method?,"The speaker uses Google Slides to manage projects at a higher level, but it is embarrassing. They also use Notion and Google Drive.",,,,,
How does the speaker get information?,"The speaker gets information from the CEO and the Chief Product Officer, who works closely with the tech team.",,,,,
What is the format of the information received?,The majority of information is received in meetings and through Slack messages.,,,,,
What percentage of the speaker's time is dedicated to meetings?,Approximately 30-40% of the speaker's day is spent in meetings.,,,,,
Which conversations are the most demanding?,"Conversations with the CEO are the most demanding, as he likes to talk and discuss extensively.",,,,,
Is there a process for accountability after conversations?,"After conversations, the speaker sends notes and tasks for follow-up, but there is no formalized process for accountability.",,,,,
Do you currently use any tools to help you remember conversations?,Notes and a running note doc for each person I meet one-on-one.,,,,,
What would you like to automate before or after conversations?,Automating follow-up emails and tasks from Slack messages.,,,,,
Are there any integrations you would like to see between Notion and Google Drive?,Better integrations to easily transfer data and tables between the two platforms.,,,,,
What is the main pain point for startups?,"Startups often struggle with cobbling together different apps and tools, which do not communicate with each other.",,,,,
What are some potential automation ideas?,"Automating the process of sending agendas and summaries before big meetings, as well as automating note-taking and summarizing dense conversations.",,,,,
What is the prototype being developed?,A privacy-centric tool that uses speech recognition to take notes during conversations and helps summarize them in different ways.,,,,,
What is the main challenge for startups?,"The lack of a playbook or tools specifically designed for starting a company, causing confusion and complexity.",,,,,
What advice would be useful for startups?,"Providing guidance on essential tools and resources for starting a company, as well as sharing experiences and best practices from successful entrepreneurs.",,,,,
What do I want to read a book?,"No one wants to read books, and startups struggle because there is no formalized playbook.",,,,,
Why is education about startups important?,"Education about startups needs to be fun and entertaining, not like reading a textbook.",,,,,
How does the speech recognition work?,"Speech recognition is done directly on the device for privacy, without any data traveling through the internet.",,,,,
What is the benefit of using the transcribe and summarize feature?,Transcribing and summarizing calls helps in organizing information for easy reference and saves time.,,,,,
What tools have you tried before?,"The speaker has tried various tools, with limited success in getting people to adopt them. Slack was the closest they got to success.",,,,,
What are the pain points you face with internal communication?,"The speaker mentions that internal communication is a mess due to friction between the users and the product, as it requires a change in behavior.",,,,,
What challenges do you face with risk-averse clients?,The speaker mentions that risk-averse clients are paranoid about data security and prefer physical documents. They see potential in a solution that prioritizes privacy and data ownership.,,,,,
What do you think about the potential of AI transcription for meetings?,"The speaker sees potential in AI transcription for project meetings and milestone discussions, as it can provide automatic meeting minutes without the need for manual note-taking.",,,,,
What are the advantages of owning your own data?,"The speaker believes that owning one's data and ensuring it doesn't leave the premises can be a significant advantage, especially for risk-averse clients concerned about IP protection.",,,,,
"Where do you see the limitations for Otter? Like you tried it before, it has a gotten adoption.",Otter's speaker identification issues caused frustration and resistance among risk-averse users. Summarization-focused tools like Osmo remove hurdles.,,,,,
What would assuage the clients' paranoia?,Certified compliance and deployment tools for auditing network traffic would help alleviate concerns about data security and privacy.,,,,,
Can you think of any proof points that would prove the product's privacy and security?,"Certified compliance, granular network traffic monitoring, and a demo showcasing uninterrupted functionality without internet connection would build trust.",,,,,
How can the product differentiate itself from similar transcription tools like Otter?,"Emphasize that the product focuses on summarization, not transcription, providing actionable meeting summaries in a seamless and on-device manner.",,,,,
What are the challenges with using Otter for business meetings?,The raw transcript is overwhelming and not useful for everyday business use cases. Otter is better suited for long-form content creation and journalism.,,,,,
What is the main frustration with Otter's recording feature?,"Some people are uncomfortable with recording due to privacy concerns, especially when discussing sensitive or iterative topics.",,,,,
What is the main concern with the transcription process?,"The transcription can cause stress as it may not capture important details accurately, leading to potential misunderstandings or problems to manage.",,,,,
Is Otter more suitable for specific industries or use cases?,"Otter is more commonly used in companies already using collaboration tools like Slack or Teams, where the need for transcription may be less frequent.",,,,,
What are the potential benefits of using Otter for long-form interviews or research?,"Otter's ability to transcribe long-form interviews can be beneficial for academic research or content creation, allowing easy access to quotes and follow-up.",,,,,
What is the appeal of a tool that provides summarized bullet points instead of raw transcripts?,"A summarized approach reduces the feeling of being under a spotlight, allowing people to speak more freely and fostering a relaxed conversational space.",,,,,
What was the positive experience with Otter's ability to upload raw audio files?,The ability to upload raw audio files and receive accurate transcriptions within an hour or two was highly appreciated.,,,,,
What is the overall sentiment towards Otter?,"While Otter is seen as a cool product, its focus on full transcriptions may not align with the needs of everyday business use cases.",,,,,
What are the concerns about the interpretation and transcription process?,The fear of important details being missed or misinterpreted in the transcription process causes stress and potential management issues.,,,,,
What are the concerns about privacy and digital recording?,"Some individuals are risk-averse and worry about the implications of recorded meetings, while others have accepted the lack of digital privacy.",,,,,
What are the challenges of the raw one-to-one input process output approach?,"The raw transcription may not be useful when working with specific individuals or situations, where a more connected and collaborative approach is preferred.",,,,,
How is the team dealing with the two-party consent law in California?,"The team is unsure if their technology falls under the definition of recording, but they believe their system is similar to streaming audio and discarding it.",,,,,
What are the potential legal risks associated with the technology?,There could be concerns about privacy and potential lawsuits if people perceive the technology as recording and holding their conversations.,,,,,
Are there any historical precedents for similar concerns with video recording?,"The team discusses how people initially had concerns about camera phones and privacy, but eventually accepted it. They also mention the potential privacy issues with upcoming technologies like Facebook glasses.",,,,,
What is the team's position in the market?,"The team believes they are well-positioned for the future wave of people consuming large amounts of audio and video content, but acknowledge they are still early in the development.",,,,,
What are the team's thoughts on the impact of AI and generative technology?,The team recognizes the rapid advancements in generative AI and the potential for bots to write and read content. They discuss the dystopian aspect of bots talking to bots.,,,,,
What is the overall assessment of the team's position and potential?,"The team believes they are in a good spot and positioned well for the future, as long as they can address any legal concerns and differentiate themselves from traditional recording technologies.",,,,,
What are some factors that can convince clients to use our service?,"Show clients that their data is secure and not stored in the cloud, reducing friction and gaining buy-in from risk-averse individuals.",,,,,
How can we appeal to older generations and legacy businesses?,"Highlight the ease of use and comfort for older individuals, as well as gaining support from higher-level people in legacy businesses.",,,,,
What is the target demographic for our service?,"The target audience includes individuals in their 20s and 30s who are open to trying new things, as well as older generations who can be convinced to adopt new technology.",,,,,
How can we gather feedback from potential users?,Share a one-pager PDF about the service with dinosaurs (older individuals) and gather their top concerns and questions to address.,,,,,
How can we handle resistance from people who are not willing to try new things?,"Recognize that not everyone can be convinced, but focus on gathering feedback from both open-minded individuals and those resistant to change.",,,,,
